model,oof_f1,oof_precision,oof_recall,oof_roc_auc,oof_pr_auc
rf,0.7649918962722853,0.7002967359050445,0.8428571428571429,0.8396306818181818,0.7593776883037913
xgb,0.7533783783783784,0.7147435897435898,0.7964285714285714,0.8358644480519482,0.7397946978645873
cat,0.7603305785123967,0.7076923076923077,0.8214285714285714,0.8432183441558442,0.772341179112279
et,0.751219512195122,0.6895522388059702,0.825,0.8466923701298701,0.7700236649730043
