ensemble_type,threshold,precision,recall,f1,roc_auc,pr_auc
weighted,0.3637794944122799,0.9037419523809523,0.9656411428571429,0.9336667416840395,0.935715422077922,0.9462388943183113
stacking,0.38545974543367745,0.8984198235294117,0.9692125714285714,0.9324744952337736,0.9416732142857143,0.9585354272233337
