ensemble_type,precision,recall,f1,roc_auc,pr_auc
weighted,0.93365,0.836572,0.8824491479599734,0.9103379870129868,0.9484914090328793
stacking,0.8997736984126984,0.9084982857142857,0.904114944780713,0.9095262987012986,0.9629159942658636
