oof_rf,oof_xgb,oof_cat,oof_et
0.1,0.04474223777651787,0.013688074203827142,0.05
0.3142041598041347,0.21177972853183746,0.34984630629518354,0.3903587962962962
0.7766666666666666,0.958808183670044,0.9695284016105541,0.9333333333333333
0.10666666666666667,0.049091886729002,0.010128197679249874,0.03333333333333333
0.17666666666666667,0.053573720157146454,0.04641350177574862,0.11
0.08918198198198198,0.026610227301716805,0.04173766773328179,0.11403935185185186
0.7899175179720015,0.900600254535675,0.9020103700281393,0.7
0.07,0.0278053916990757,0.017129982902686646,0.09
0.2833333333333333,0.29681095480918884,0.3699146754775497,0.20666666666666667
0.49624335481281795,0.3836402893066406,0.4685738114601073,0.61
0.6108658029702563,0.7549422383308411,0.7653603816453343,0.5833333333333334
0.18,0.20347553491592407,0.15047268619321047,0.16
0.21666666666666667,0.09252402186393738,0.10343483930632927,0.33
0.5465512309735417,0.7135186791419983,0.627488514942795,0.5833333333333334
0.5430249272197962,0.45306631922721863,0.6106607285448846,0.6066666666666667
0.02666666666666667,0.047678638249635696,0.07685990224090633,0.043333333333333335
0.2633333333333333,0.2000880092382431,0.20160871054215054,0.22
0.2912426805505721,0.25230151414871216,0.18718712086679626,0.32612847222222224
0.6869006081277825,0.7499756813049316,0.7994928891586095,0.6166666666666667
0.05127504553734062,0.021035799756646156,0.02322723058244799,0.016666666666666666
0.06425881728984355,0.031039142981171608,0.06002592582055748,0.09
0.7311584710168182,0.8695172071456909,0.7593111528856087,0.63
0.8333333333333334,0.9727907180786133,0.9908398451837978,0.9
0.15333333333333332,0.04220961406826973,0.02911261475366337,0.04
0.15027830788804072,0.041278790682554245,0.03978083109498274,0.056666666666666664
0.5011066808067653,0.613235354423523,0.5490081234369278,0.5866666666666667
0.8466666666666667,0.9102839827537537,0.9721712479217046,0.85
0.10333333333333333,0.07376154512166977,0.048956633535271715,0.05333333333333334
0.26666666666666666,0.20464462041854858,0.08215380048823119,0.13333333333333333
0.6804346515182811,0.7841088175773621,0.9032778627276182,0.73
0.6009291834022036,0.7330927848815918,0.7343619356993285,0.6833333333333333
0.3020717592592592,0.18401332199573517,0.1803510062610647,0.13333333333333333
0.06666666666666667,0.02334466017782688,0.04291916912397643,0.04666666666666667
0.7137409505563614,0.7759433388710022,0.739114104170436,0.7366666666666667
0.9127297921012587,0.9501639604568481,0.9316188411198131,0.8466666666666667
0.13,0.12482169270515442,0.08763988792220596,0.09
0.1,0.05667847394943237,0.027563415081638648,0.07
0.7162927565392354,0.8955506086349487,0.8936791489594517,0.6366666666666667
0.9264177131526768,0.9720593690872192,0.9896801446812039,0.9233333333333333
0.10333333333333333,0.02675245888531208,0.04194426943038183,0.07666666666666666
0.05845183290707588,0.04993719980120659,0.06313300730657502,0.11201967592592593
0.6499303794607433,0.5601915121078491,0.6712869147577878,0.5866666666666667
0.78,0.9496174454689026,0.9510927486046916,0.92
0.056666666666666664,0.046516790986061096,0.025191306260420213,0.05
0.24666666666666667,0.14248336851596832,0.1825836811308981,0.23666666666666666
0.7572684161145085,0.8081437945365906,0.8715778706445351,0.81
0.9161042311661508,0.9802259206771851,0.9588888863240022,0.9233333333333333
0.07333333333333333,0.04800138249993324,0.0292073851613427,0.04
0.03333333333333333,0.01374584250152111,0.03297261231814739,0.023333333333333334
0.6751194773111844,0.7813302874565125,0.8514043109384716,0.5233333333333333
0.6423908575699071,0.8009553551673889,0.8018639736793274,0.8166666666666667
0.08333333333333333,0.05459809675812721,0.028358470185295474,0.04666666666666667
0.04,0.03645865619182587,0.021742547349938898,0.03
0.9172937142520949,0.9605315327644348,0.9752541281973814,0.92
0.8696960784861769,0.9642938375473022,0.9643391671395283,0.9233333333333333
0.04,0.0425293892621994,0.019759286961424025,0.006666666666666667
0.5245446228866523,0.615268886089325,0.6775326708116903,0.6133333333333333
0.7844454785720548,0.8992481827735901,0.8987344267931904,0.83
