iter	Passed	Remaining
198	1552	4687
199	1560	4682
200	1569	4676
201	1575	4665
202	1582	4653
203	1589	4644
204	1596	4634
205	1603	4624
206	1611	4617
207	1619	4609
208	1626	4599
209	1634	4591
210	1641	4582
211	1647	4569
212	1652	4554
213	1659	4545
214	1667	4537
215	1674	4526
216	1681	4517
217	1688	4508
218	1695	4498
219	1703	4491
220	1711	4483
221	1717	4472
222	1724	4461
223	1731	4452
224	1738	4442
225	1746	4435
226	1753	4427
227	1760	4417
228	1767	4406
229	1774	4397
230	1782	4391
231	1788	4378
232	1794	4367
233	1800	4355
234	1806	4342
235	1812	4331
236	1819	4321
237	1826	4312
238	1834	4305
239	1842	4298
240	1848	4288
241	1856	4281
242	1863	4270
243	1869	4260
244	1876	4251
245	1884	4244
246	1892	4236
247	1899	4228
248	1908	4223
249	1915	4214
250	1922	4205
251	1931	4199
252	1939	4192
253	1947	4187
254	1953	4175
255	1959	4164
256	1968	4158
257	1976	4151
258	1983	4142
259	1990	4135
260	1997	4125
261	2005	4117
262	2011	4107
263	2017	4095
264	2024	4086
265	2031	4077
266	2038	4069
267	2046	4061
268	2053	4054
269	2058	4041
270	2066	4034
271	2074	4027
272	2081	4018
273	2090	4014
274	2097	4004
275	2105	3997
276	2112	3988
277	2118	3978
278	2125	3969
279	2133	3962
280	2142	3957
281	2150	3949
282	2158	3943
283	2166	3935
284	2175	3930
285	2181	3920
286	2188	3912
287	2194	3902
288	2202	3893
289	2209	3885
290	2216	3877
291	2223	3868
292	2231	3861
293	2239	3854
294	2247	3847
295	2256	3841
296	2265	3837
297	2273	3829
298	2280	3820
299	2289	3816
300	2297	3808
301	2302	3797
302	2309	3788
303	2316	3779
304	2324	3772
305	2331	3764
306	2339	3756
307	2347	3749
308	2355	3742
309	2363	3736
310	2370	3727
311	2376	3717
312	2384	3709
313	2392	3702
314	2399	3694
315	2407	3686
316	2414	3678
317	2419	3667
318	2426	3658
319	2434	3652
320	2441	3643
321	2448	3635
322	2455	3625
323	2462	3617
324	2470	3611
325	2478	3603
326	2485	3595
327	2493	3587
328	2500	3579
329	2508	3572
330	2517	3566
331	2525	3559
332	2533	3553
333	2541	3546
334	2550	3540
335	2558	3533
336	2566	3525
337	2573	3517
338	2580	3509
339	2589	3503
340	2597	3496
341	2604	3488
342	2612	3480
343	2618	3471
344	2626	3463
345	2632	3454
346	2640	3447
347	2648	3439
348	2656	3432
349	2664	3425
350	2670	3416
351	2678	3409
352	2687	3402
353	2692	3391
354	2698	3383
355	2705	3374
356	2712	3366
357	2720	3358
358	2728	3352
359	2735	3342
360	2740	3332
361	2748	3325
362	2756	3318
363	2763	3310
364	2770	3301
365	2776	3292
366	2783	3283
367	2788	3272
368	2795	3264
369	2802	3256
370	2809	3248
371	2816	3240
372	2822	3230
373	2829	3223
374	2838	3217
375	2848	3212
376	2856	3204
377	2864	3197
378	2871	3189
379	2879	3182
380	2886	3174
381	2894	3167
382	2902	3160
383	2909	3152
384	2915	3143
385	2922	3134
386	2930	3126
387	2936	3118
388	2945	3112
389	2952	3104
390	2959	3096
391	2967	3088
392	2974	3080
393	2981	3071
394	2986	3062
395	2994	3055
396	3000	3046
397	3008	3038
398	3015	3030
399	3020	3020
400	3027	3012
401	3035	3005
402	3041	2996
403	3049	2988
404	3055	2980
405	3062	2971
406	3070	2964
407	3077	2956
408	3084	2949
409	3092	2941
410	3101	2935
411	3108	2927
412	3116	2920
413	3123	2912
414	3131	2905
415	3139	2898
416	3146	2890
417	3157	2885
418	3164	2877
419	3170	2868
420	3177	2860
421	3183	2851
422	3191	2844
423	3200	2838
424	3207	2829
425	3214	2822
426	3223	2815
427	3232	2809
428	3240	2802
429	3248	2795
430	3255	2787
431	3262	2779
432	3271	2772
433	3278	2764
434	3284	2756
435	3291	2748
436	3298	2739
437	3306	2732
438	3311	2722
439	3318	2714
440	3325	2706
441	3333	2700
442	3340	2692
443	3349	2685
444	3356	2677
445	3364	2670
446	3371	2662
447	3379	2654
448	3384	2645
449	3391	2638
450	3398	2629
451	3405	2621
452	3413	2615
453	3422	2608
454	3427	2599
455	3433	2590
456	3443	2584
457	3451	2577
458	3456	2567
459	3464	2560
460	3471	2552
461	3477	2543
462	3484	2536
463	3490	2527
464	3498	2520
465	3505	2512
466	3514	2506
467	3520	2497
468	3526	2489
469	3533	2481
470	3541	2473
471	3549	2466
472	3558	2460
473	3565	2452
474	3573	2445
475	3580	2436
476	3585	2427
477	3591	2419
478	3597	2411
479	3606	2404
480	3612	2396
481	3618	2387
482	3624	2379
483	3631	2371
484	3639	2363
485	3648	2356
486	3655	2349
487	3661	2340
488	3669	2333
489	3678	2327
490	3684	2318
491	3691	2310
492	3697	2302
493	3706	2295
494	3714	2288
495	3720	2280
496	3727	2272
497	3733	2264
498	3740	2256
499	3748	2249
500	3755	2241
501	3762	2233
502	3768	2224
503	3775	2217
504	3783	2210
505	3792	2203
506	3802	2197
507	3810	2190
508	3816	2182
509	3823	2173
510	3828	2165
511	3837	2158
512	3844	2150
513	3851	2143
514	3857	2134
515	3864	2126
516	3871	2119
517	3879	2112
518	3887	2104
519	3895	2097
520	3904	2090
521	3910	2082
522	3917	2074
523	3925	2067
524	3932	2060
525	3939	2052
526	3947	2044
527	3953	2036
528	3960	2028
529	3968	2021
530	3974	2013
531	3979	2004
532	3986	1996
533	3993	1989
534	4000	1981
535	4008	1974
536	4015	1966
537	4023	1959
538	4030	1951
539	4037	1944
540	4045	1936
541	4052	1929
542	4059	1921
543	4067	1914
544	4075	1906
545	4082	1899
546	4089	1891
547	4094	1883
548	4102	1875
549	4109	1867
550	4116	1860
551	4122	1852
552	4129	1844
553	4136	1836
554	4144	1829
555	4153	1822
556	4163	1816
557	4172	1809
558	4177	1800
559	4184	1793
560	4192	1786
561	4200	1778
562	4209	1771
563	4216	1764
564	4222	1756
565	4230	1749
566	4238	1741
567	4244	1733
568	4251	1725
569	4258	1718
570	4263	1709
571	4270	1702
572	4278	1694
573	4283	1686
574	4289	1678
575	4298	1671
576	4305	1664
577	4312	1656
578	4319	1648
579	4327	1641
580	4334	1633
581	4342	1626
582	4348	1618
583	4356	1611
584	4363	1603
585	4371	1596
586	4380	1589
587	4388	1582
588	4397	1575
589	4403	1567
590	4411	1559
591	4418	1552
592	4424	1544
593	4431	1536
594	4438	1529
595	4443	1521
596	4450	1513
597	4457	1505
598	4465	1498
599	4473	1491
600	4480	1483
601	4488	1476
602	4496	1469
603	4505	1462
604	4513	1454
605	4521	1447
606	4529	1440
607	4537	1432
608	4544	1425
609	4553	1418
610	4562	1411
611	4570	1403
612	4578	1396
613	4585	1389
614	4592	1381
615	4599	1374
616	4606	1366
617	4613	1358
618	4620	1351
619	4626	1343
620	4634	1335
621	4641	1328
622	4647	1320
623	4655	1313
624	4662	1305
625	4669	1297
626	4677	1290
627	4687	1283
628	4692	1275
629	4699	1268
630	4705	1260
631	4712	1252
632	4718	1244
633	4727	1237
634	4734	1230
635	4741	1222
636	4749	1215
637	4758	1208
638	4765	1200
639	4771	1192
640	4778	1185
641	4784	1177
642	4791	1169
643	4798	1162
644	4805	1154
645	4813	1147
646	4821	1140
647	4830	1132
648	4837	1125
649	4844	1117
650	4853	1110
651	4862	1103
652	4869	1096
653	4877	1088
654	4885	1081
655	4891	1073
656	4899	1066
657	4907	1059
658	4915	1051
659	4924	1044
660	4933	1037
661	4941	1030
662	4948	1022
663	4955	1014
664	4963	1007
665	4971	1000
666	4978	992
667	4986	985
668	4994	978
669	5002	970
670	5010	963
671	5017	955
672	5025	948
673	5031	940
674	5037	932
675	5046	925
676	5054	918
677	5062	910
678	5069	903
679	5078	896
680	5086	888
681	5094	881
682	5103	874
683	5111	866
684	5119	859
685	5125	851
686	5133	844
687	5139	836
688	5147	829
689	5158	822
690	5167	815
691	5173	807
692	5182	800
693	5189	792
694	5197	785
695	5204	777
696	5211	770
697	5220	762
698	5228	755
699	5235	747
700	5242	740
701	5248	732
702	5254	725
703	5262	717
704	5270	710
705	5277	702
706	5285	695
707	5291	687
708	5299	680
709	5306	672
710	5313	665
711	5320	657
712	5327	650
713	5335	642
714	5343	635
715	5348	627
716	5355	620
717	5362	612
718	5372	605
719	5380	597
720	5386	590
721	5393	582
722	5402	575
723	5409	567
724	5416	560
725	5423	552
726	5430	545
727	5438	537
728	5446	530
729	5454	522
730	5462	515
731	5470	508
732	5479	500
733	5486	493
734	5493	485
735	5499	478
736	5505	470
737	5512	463
738	5520	455
739	5526	448
740	5534	440
741	5540	433
742	5547	425
743	5554	418
744	5562	410
745	5571	403
746	5580	395
747	5586	388
748	5592	380
749	5599	373
750	5607	365
751	5614	358
752	5621	350
753	5626	343
754	5634	335
755	5641	328
756	5650	320
757	5659	313
758	5667	306
759	5675	298
760	5683	291
761	5691	283
762	5697	276
763	5705	268
764	5712	261
765	5719	253
766	5727	246
767	5734	238
768	5742	231
769	5749	224
770	5757	216
771	5764	209
772	5773	201
773	5780	194
774	5788	186
775	5794	179
776	5801	171
777	5808	164
778	5817	156
779	5826	149
780	5832	141
781	5839	134
782	5846	126
783	5855	119
784	5862	112
785	5869	104
786	5878	97
787	5885	89
788	5892	82
789	5898	74
790	5905	67
791	5912	59
792	5920	52
793	5926	44
794	5933	37
795	5941	29
796	5949	22
797	5955	14
798	5963	7
799	5972	0
