iter	Logloss
0	0.6871463362
1	0.6804648414
2	0.6751058027
3	0.6691791131
4	0.6633858599
5	0.6582661852
6	0.6521296166
7	0.6474297519
8	0.6424501699
9	0.6377497331
10	0.632647843
11	0.627309813
12	0.6229207107
13	0.6179698856
14	0.6136262848
15	0.6086745756
16	0.6039310815
17	0.5990413064
18	0.5939544448
19	0.5891206756
20	0.5844873211
21	0.580553234
22	0.5761488431
23	0.5722417448
24	0.568048585
25	0.5644742458
26	0.5604838928
27	0.5563665515
28	0.5529955911
29	0.5488155877
30	0.5452142596
31	0.542107468
32	0.5385582457
33	0.5352066819
34	0.5319458092
35	0.5284481726
36	0.5252163688
37	0.522252478
38	0.5189717406
39	0.5156828909
40	0.5126317932
41	0.5095622868
42	0.5063210188
43	0.5037072556
44	0.5002570446
45	0.4975249255
46	0.4944993606
47	0.4910516456
48	0.4883836967
49	0.4862096602
50	0.4840860654
51	0.4809065233
52	0.4781873527
53	0.476036457
54	0.4731165076
55	0.4705973356
56	0.4680648512
57	0.4651832791
58	0.4626362341
59	0.4595918446
60	0.4576391795
61	0.455165145
62	0.4531641183
63	0.4504912292
64	0.4482616548
65	0.4462166866
66	0.4434264816
67	0.4409003414
68	0.4389652529
69	0.4363255928
70	0.4340429507
71	0.4326742911
72	0.430632885
73	0.428772185
74	0.4263568604
75	0.4236051367
76	0.4219109202
77	0.4201282228
78	0.4186876707
79	0.4165752563
80	0.414526804
81	0.4130819098
82	0.4114432832
83	0.409399459
84	0.4072976269
85	0.4052516707
86	0.4039233644
87	0.4021916807
88	0.4002851151
89	0.3987070445
90	0.3965193575
91	0.394942873
92	0.3938961821
93	0.3923252097
94	0.3903869491
95	0.3884493125
96	0.3865618055
97	0.3849394554
98	0.3833761793
99	0.3811464489
100	0.3793687957
101	0.3772084616
102	0.3749280036
103	0.3734668069
104	0.3716988779
105	0.3701757471
106	0.3687124703
107	0.3674197852
108	0.3659046887
109	0.3645667881
110	0.3629865334
111	0.3615470994
112	0.3600167404
113	0.3583392165
114	0.3568762777
115	0.355656551
116	0.3549626399
117	0.353617173
118	0.3522712901
119	0.3511514068
120	0.3498446292
121	0.3487478086
122	0.3471748602
123	0.3460112174
124	0.3446929734
125	0.3434307354
126	0.3418767675
127	0.3406562348
128	0.3395078545
129	0.3383268432
130	0.3373967142
131	0.3362567321
132	0.3348760081
133	0.3339671738
134	0.3326163508
135	0.3314859371
136	0.3306918706
137	0.3296342333
138	0.3285328106
139	0.3274594428
140	0.3261592695
141	0.3255015775
142	0.3239321132
143	0.3230987074
144	0.3219795261
145	0.321077686
146	0.3198371326
147	0.3189059896
148	0.3174693897
149	0.3166870236
150	0.3154909837
151	0.3146927311
152	0.3140118464
153	0.3130063409
154	0.3118660469
155	0.3108622574
156	0.3100820754
157	0.3088647408
158	0.3077933231
159	0.30704091
160	0.3062454134
161	0.3053536617
162	0.3046062408
163	0.3039847681
164	0.3030148837
165	0.3023132763
166	0.3011907149
167	0.3004414219
168	0.2997124616
169	0.2989229973
170	0.2982090135
171	0.2974804952
172	0.2966757164
173	0.2957838346
174	0.2949519109
175	0.2942403972
176	0.2932707728
177	0.2924264727
178	0.2916365403
179	0.2909025619
180	0.2901318702
181	0.2891905088
182	0.2885996391
183	0.2876598117
184	0.2865901361
185	0.2856441725
186	0.2848327895
187	0.2841918941
188	0.2835536768
189	0.2830152249
190	0.2820801817
191	0.281460321
192	0.2804365889
193	0.2797577582
194	0.2789200883
195	0.2783317667
196	0.2774896766
197	0.2766713253
198	0.2756532354
199	0.2746102106
200	0.2735236604
201	0.2731185149
202	0.2724336
203	0.2717357368
204	0.2710078685
205	0.2702048057
206	0.2695503119
207	0.2687937907
208	0.2682597069
209	0.2676136113
210	0.266736056
211	0.2662586541
212	0.2655166414
213	0.2648710139
214	0.2640442123
215	0.2636206062
216	0.2629726386
217	0.2621819522
218	0.2612828942
219	0.2606870844
220	0.2602550539
221	0.2597428109
222	0.2591054516
223	0.2583893617
224	0.2574792534
225	0.256986797
226	0.2563361253
227	0.2558060196
228	0.2554706084
229	0.2547556106
230	0.2538913678
231	0.253480372
232	0.2531299584
233	0.2524822768
234	0.2519867782
235	0.2513637975
236	0.2507976026
237	0.2503039501
238	0.249488979
239	0.2487511264
240	0.2482368032
241	0.247600042
242	0.2469543364
243	0.2464959152
244	0.2459870262
245	0.2455591039
246	0.2448748131
247	0.2443790286
248	0.2433338457
249	0.242892169
250	0.2423424587
251	0.2416809446
252	0.2407778305
253	0.2403096329
254	0.2399425786
255	0.2394911776
256	0.2388965898
257	0.2380236367
258	0.2374289448
259	0.2366435886
260	0.2359018619
261	0.2352652047
262	0.2348115416
263	0.2344411332
264	0.2339179438
265	0.2336230939
266	0.2331999558
267	0.2325624146
268	0.2319222212
269	0.2315700395
270	0.2311890228
271	0.2309077714
272	0.2304566043
273	0.229697535
274	0.2288436146
275	0.2283974917
276	0.227956569
277	0.2276400604
278	0.2271488
279	0.2265587624
280	0.2259554903
281	0.2255404904
282	0.2251841485
283	0.22462955
284	0.2240011091
285	0.2235248252
286	0.2230405851
287	0.222499871
288	0.2219527088
289	0.2214893213
290	0.2211451219
291	0.2207322281
292	0.2202674366
293	0.2195870979
294	0.2191494253
295	0.2185561115
296	0.2179278006
297	0.2172385046
298	0.2166826971
299	0.2159686483
300	0.2155265685
301	0.2151289503
302	0.2147373512
303	0.2141211047
304	0.2136313783
305	0.2132940041
306	0.212930616
307	0.2122104439
308	0.2117840817
309	0.211461593
310	0.2111721253
311	0.2106110786
312	0.2100705856
313	0.2094466948
314	0.2090516116
315	0.2085812819
316	0.2081912819
317	0.2079101866
318	0.2075718113
319	0.2070871031
320	0.206602902
321	0.2063017339
322	0.2059577295
323	0.2054977611
324	0.204982957
325	0.2042766434
326	0.203813633
327	0.2035964087
328	0.2032035876
329	0.2024335459
330	0.2019334973
331	0.2012599318
332	0.2007467137
333	0.2002478611
334	0.199614974
335	0.1990548633
336	0.1987981307
337	0.1982943249
338	0.1978011275
339	0.197277834
340	0.1969233512
