quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1695682305052872,TN,0.0447104375676837,-4.824347588777053,78.22723126822717,166.90069926659646,5.918481359001639
2,0,1,0.7164634276382285,FP,0.0848320502547281,8.748841498358201,66.49290742658953,158.18225901775693,6.121437487855627
3,0,1,0.8699932693955533,FP,0.0099015431129567,15.848727659581732,49.04226498253259,200.17805472039947,6.104477625089292
4,0,0,0.1721144020140272,TN,0.0494626118697798,-1.9956707703194971,80.55212249660153,171.28917261429345,5.414417892840627
5,0,1,0.658616046878236,FP,0.0649487525062911,-3.876117221270796,79.7105663720224,174.80839005092787,5.53007555943252
6,3,1,0.8316719685014327,TP,0.0938682524734332,9.381750989212405,63.76266700632918,195.3393851619555,4.957781498705602
7,1090,1,0.8840391626661717,TP,0.0587187465856207,13.525465463053532,62.155825176570914,191.2321651376809,4.960598875242517
8,0,0,0.188563768313854,TN,0.0571509513815296,-0.7511747604967667,84.01338278201706,177.8463022705635,4.308480847604423
9,3,1,0.7184969698899443,TP,0.030686562803259,-5.214830596322637,73.63276144735275,186.29509244716323,5.652552851625609
10,68,1,0.8812744376750223,TP,0.0763201152919625,9.763058561007762,61.31210783189815,208.8397779027476,6.974666939294376
11,0,1,0.8823445407515723,FP,0.0910385213150869,13.22417891023539,67.42479056473823,204.002744542876,5.925371785592367
12,0,0,0.1766400987881715,TN,0.0515001672921056,-1.1893581527160464,81.28875007656737,178.02707497746047,5.1120887890429
13,0,0,0.1793070260680838,TN,0.0416060579491733,-3.869487067348993,74.57021927266695,198.54830767013817,6.0669831646012815
14,3,1,0.7204101250495973,TP,0.0959319252044539,7.196065214370579,66.3644428383987,205.6236660061252,6.715787191382255
15,0,1,0.8844601631024667,FP,0.0353034119845092,14.330292486942934,60.41968113630414,207.0404931541122,6.195551310200612
16,0,0,0.2605592183521203,TN,0.050437063409311,-0.0373728284895192,82.90066708632965,185.29367722629317,5.188292807739559
17,0,0,0.1810574338097009,TN,0.0286976345204467,-3.574644178935221,73.09388716576163,192.31738142403643,6.306242381822188
18,116,1,0.8726585773641719,TP,0.0272183223658699,9.69874773343562,55.40976718805602,207.6967483854748,7.224436119634795
19,46,1,0.8885976818258262,TP,0.042453083459983,15.163959585459386,57.21948421037432,211.19007892313948,6.746201097622792
20,0,0,0.1794203864048672,TN,0.072759841549001,-1.7647587828151017,81.95831049074249,183.3405425674013,6.130769095170111
21,0,0,0.2009693458222646,TN,0.045102864356392,-2.3807550566893525,74.98967648388228,198.52168132412544,6.4033787818773575
22,0,1,0.3541618999831527,FP,0.032722478338178,4.596080495692844,57.819736889318506,185.74743658795407,7.43470587352297
23,0,1,0.8714186765752139,FP,0.049497976024615,16.772820354376847,55.75011182780703,199.1621299215396,6.387247861115688
24,0,0,0.1737109722142909,TN,0.0331299606985964,-2.6780008911334456,76.9144465412281,190.49624218742755,5.56840066389551
