quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1702465442965542,TN,0.0551802638875771,-1.204705275826789,76.77959799862775,5.217689176397048,6.20418885992494
2,0,1,0.8714645479740767,FP,0.0641137883639162,13.837138990055244,59.12220858853796,186.10778420733052,7.209025759948412
3,56,1,0.8857716722389588,TP,0.0063116370808678,21.490898021820023,39.49554896337786,203.0921257929705,7.42532179658348
4,0,0,0.1667521042815146,TN,0.0429907089674461,2.002331313566444,77.07219311080078,221.87530110634103,6.814136029874687
5,0,0,0.1713569127481464,TN,0.0788624614125785,-0.3739563157488175,77.06328003333992,212.1135817233188,5.972489779161219
6,0,1,0.855262311781863,FP,0.0480303130003728,14.678647375578512,53.69014920469619,205.45028075716692,7.231034252565103
7,0,1,0.885634385419952,FP,0.0368131868131868,19.040796703296703,50.28983516483516,202.0618131868132,6.64514652014652
8,0,0,0.1754959783534221,TN,0.0623790708298618,3.453222355686913,80.34998524863946,223.32992558089128,5.746734902998515
9,0,0,0.1695567911076745,TN,0.036000488508392,-1.5336844107509515,71.70032208861629,201.6046592430466,5.669453388059008
10,0,1,0.8676715446210704,FP,0.0252625152625152,14.67205800809707,51.5541401815286,200.5328694652592,5.984691575259756
11,1,1,0.8819606699765015,TP,0.0817682417383016,18.869673621860347,58.02266768089026,209.43974574425133,6.077130146641247
12,0,0,0.1710044164981576,TN,0.0504625369905313,2.6653273600169425,79.50774942790889,215.21170279991685,5.164649682509002
13,0,0,0.2104817662471357,TN,0.0453546471591828,0.5184925042804307,70.78481138085007,203.8210357890229,5.48999771592166
14,0,1,0.4251504652678874,FP,0.0547619047619047,12.740247252747254,56.540750915750905,204.4349816849817,6.8364010989011
15,81,1,0.8830241473739402,TP,0.0137288490386641,20.125982590480767,48.10713796964123,202.7382360219837,6.701291552108396
16,0,0,0.1746078225244156,TN,0.0648351648351648,3.5728479853479858,82.9084249084249,210.9862637362637,5.722619047619047
17,0,0,0.1962915158097329,TN,0.0537244192932815,0.9635835471913315,70.5746583755566,206.7171069948016,5.869453400890527
18,0,1,0.8677316510581167,FP,0.0103974766546009,15.689899751022184,44.48160221588356,203.32523552858208,6.426239574241799
19,89,1,0.8864373572750586,TP,0.0193441265225407,20.88326234457412,47.67508958708368,202.04522478999968,6.162769618256595
20,0,0,0.1712265720798882,TN,0.0760934175604834,2.274798754140072,77.47060000877366,208.672172139238,5.498633502226316
21,0,0,0.2059675917548855,TN,0.0418301786298401,0.8184964966149878,74.4512347557632,204.67034163278797,5.5337080759646495
22,0,1,0.8075349684591207,FP,0.0234506155714196,10.316026758236315,49.04260428372609,187.17577544165903,6.80567079508152
23,0,1,0.8738035473232612,FP,0.0088050467564439,22.45018862880994,44.90808760883216,193.01791197031372,6.404975956122447
24,0,0,0.2082104669410619,TN,0.051233993491226,1.4237213883026234,72.5904281051472,197.33980522370487,5.776974403407534
