quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1816414564488252,TN,0.0524999291135611,-5.608327071039689,82.42034455583806,161.36625157929768,7.440466771204266
2,0,0,0.2482297526373429,TN,0.0492178250792105,8.695229109811184,65.13887900989839,158.1073416445795,10.36764197831176
3,0,1,0.3835180593877983,FP,0.0076438795607847,14.570015411875596,49.890185158142366,205.9301957720964,10.094515729068023
4,0,0,0.1759645995698072,TN,0.0505736695202299,-1.4637277180757582,80.44709510642242,187.3590411181252,8.285916048109188
5,0,0,0.1717053163902145,TN,0.0700940798747711,-4.644903663571247,79.92657474504696,183.87088311899092,7.470034854949223
6,0,1,0.7721259813504532,FP,0.0569388394339682,8.028622884268211,62.320481494932494,209.4436914688997,7.845610823864461
7,9,1,0.8752311792583157,TP,0.0627747252747252,13.006341575091575,58.13049450549452,209.0723443223443,7.473443223443224
8,0,0,0.1704398235145338,TN,0.0522174098417163,-0.9194778140666268,79.91108173382673,179.21180745749012,6.774577413973602
9,16,1,0.7051753965792529,TP,0.0261639924263008,-5.436404955752799,70.3110640741404,176.5523653289251,7.397028770956224
10,336,1,0.8805837070639585,TP,0.0800937035412149,10.035503435779676,59.25387536657692,210.50112986238895,8.01605113102091
11,0,1,0.403842887939203,FP,0.0859600553289285,13.129763832866866,65.13774587929859,208.99332661135415,6.63210207280954
12,0,0,0.187518979554051,TN,0.0533065860089337,-1.018562875413391,79.40385065052317,177.31683866256424,5.753519707290394
13,0,0,0.192960319927596,TN,0.0394934917163229,-4.022275197851173,72.32253911197677,199.1384167342161,6.828925007614505
14,0,0,0.2315353480883922,TN,0.1011933706909783,6.846905476133486,65.56992579048155,209.0276783955013,7.431781061432332
15,0,1,0.4152797242639545,FP,0.0332607664609371,14.36555495628556,57.97077581069664,211.0342601711005,6.911144623217592
16,0,0,0.1723934185533514,TN,0.0510261727626997,-0.1362932327153884,80.07234716381424,189.22894794825936,5.695709395395024
17,0,0,0.1766116272301912,TN,0.0310118828497733,-3.4000361087701463,70.95496382009802,193.64009715024253,7.018895378183128
18,1000,1,0.8627866998750322,TP,0.0210119887923108,9.619025874060746,53.460972926197165,210.99278264159048,8.100658477996008
19,135,1,0.8653442952049027,TP,0.0390812432693456,15.177625268803196,54.81501608310498,216.21572539459729,7.689044899581098
20,0,0,0.169773446228526,TN,0.0694184403732953,-1.2518724214377046,78.658030714752,184.4496679243668,7.116237104603839
21,0,0,0.2237857026923483,TN,0.0478238449997106,-2.0549395315181624,71.16970123078029,202.1295426821122,7.400251660140623
22,0,0,0.3433340943193252,TN,0.0314068601153963,4.350944982132712,56.62303604621864,186.8384655833789,8.378978504246883
23,0,1,0.8542320077925467,FP,0.0391503327547978,16.95333267184171,52.05855858963249,198.4260735383003,7.315123671897923
24,0,0,0.1911944204458813,TN,0.0314874175192348,-2.521215732758088,74.19251357525933,187.6019597697344,6.508121411595455
