quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1693381969290721,TN,0.0598200136295424,-2.947757301760547,76.93604998587301,151.4069434423369,7.191758912996616
2,0,1,0.8573310363104304,FP,0.0653811239371458,10.952541531547093,60.7718746190317,189.294389288922,8.93372830488199
3,2,1,0.8823594288334233,TP,0.0064035008983756,17.73156443812603,43.48894746918906,194.1739023119542,9.221931581543728
4,6,1,0.6567635767214255,TP,0.0533298956402445,0.4365739037651057,76.26868522574127,192.565093451536,7.823839029856144
5,0,0,0.1679011656979466,TN,0.0764986553834809,-2.0594447727464607,78.25187673728793,191.7510183775925,6.954030468836348
6,0,1,0.7403960978796632,FP,0.0529528995294797,11.385222957716492,56.64796700082699,195.7938431171558,8.00628854265397
7,4107,1,0.8666623396865003,TP,0.0538201798201798,16.651525585525583,51.17055470960589,192.21554176242677,6.7004123601895484
8,0,0,0.1850641648217211,TN,0.0540017270757459,2.404088145177882,77.25048644845103,192.1927508694112,6.246976693488077
9,0,0,0.2367612543722411,TN,0.0272070963645661,-2.6530401443137857,72.11996050082725,192.6155652057,6.193663914542779
10,2,1,0.8325601810088217,TP,0.0378151162728589,12.929388554982074,51.88688833648517,195.37152957157383,6.725808065987178
11,4,1,0.875436935451789,TP,0.0620578781008448,17.27198861305772,57.37592459957191,199.74376417445544,6.300724411104919
12,0,0,0.2152463067110391,TN,0.0402554132985303,1.4658997494102373,75.99407656831332,189.3745182087167,5.903198507266248
13,0,0,0.172138111051081,TN,0.0422986171505731,-0.4626350916137261,69.32606441356162,195.45869237057013,6.518520300379133
14,0,1,0.8211955097139031,FP,0.0752431740434887,10.681880108636676,60.61181823045314,199.60054311114925,6.939332741961138
15,0,1,0.874767193571287,FP,0.0201357300136169,16.94838016292377,51.30399121852158,191.4716627289564,6.619472761276716
16,0,0,0.1730913537047902,TN,0.0523518896273387,1.527651126318791,78.95315202481662,184.48361493053764,6.220169338130671
17,0,0,0.1882754690823842,TN,0.0294198747334107,-1.3624971367045684,69.2620513249629,185.70084820917137,6.712004402929183
18,2,1,0.802992646206691,TP,0.0190208402145951,12.20993798670095,49.15926055078552,192.0499705798546,7.083900433597953
19,1959,1,0.8850058558827719,TP,0.0263004603714872,17.615628724760413,50.62286530350327,196.14875552829017,6.625069209267949
20,0,0,0.1712107665983381,TN,0.0689410287126743,0.0090549681879683,76.97516545795533,185.29066529666088,6.281052375515739
21,0,0,0.2335056580714408,TN,0.0416015921543824,-0.8893199884382545,72.07927004710002,187.40937074123883,6.4335170158333845
22,0,1,0.3724588764302285,FP,0.0208000261601222,6.955238667448834,53.557569936865264,180.5027591469656,7.527710374683481
23,8,1,0.8585658477736514,TP,0.0319656919203844,19.020993591379167,49.731119563209376,188.85554175734387,6.5654662503860886
24,0,0,0.1994279442969837,TN,0.0376417257530955,-0.6570512622104004,72.59430766675246,187.6856700671658,6.112261724916382
