quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1661980760984783,TN,0.053546130306441,-2.599859115501202,75.76806194279705,119.28371987288185,6.609973638736811
2,0,1,0.8666110697415579,FP,0.0644807738737483,11.895856523061449,61.96229365764333,184.43575428516976,8.930148393448926
3,0,1,0.8766355691893759,FP,0.0061461116734742,17.568137143875436,47.8054755419906,193.6388007304369,8.440119086348279
4,0,0,0.1998895794726146,TN,0.037142095836596,0.596294661535154,78.66971753627737,186.73625790572555,7.496571144447725
5,0,0,0.1681740460756735,TN,0.0754570705577117,-1.770815399369211,77.88115641019978,193.03905270670063,6.2672724049030135
6,0,1,0.3721479149246137,FP,0.0450297684611665,11.24750812013006,66.02250168421172,217.9512714918027,6.209885375367229
7,1,1,0.8694055580510204,TP,0.0404075937214079,14.808357856135473,61.32211398198858,199.533558755346,6.341278740908922
8,0,0,0.1744276988594961,TN,0.0487267242722348,0.0734296390573733,85.72165272284721,196.6119388121283,5.945111285968396
9,0,0,0.1813785546312437,TN,0.0237266055731475,-4.468267236365221,76.97135928475304,198.2209494594044,6.210220387962804
10,0,1,0.8592545638863758,FP,0.0440758567599343,10.81772910461982,60.05306221614568,212.1914205415636,7.460785260728127
11,0,1,0.880065318546038,FP,0.0692025753179112,14.32362619114553,66.30650590680524,211.4524188097455,6.597159348388561
12,0,0,0.1668096822097617,TN,0.0458114573384648,-0.5282173277779559,82.99332030932631,194.6541335905647,6.017828831648402
13,0,0,0.1758411434583907,TN,0.0307481380309004,-3.268636206507856,76.53522713728721,202.2599900205424,5.527011256185223
14,0,0,0.3355282910024297,TN,0.064708696407261,8.114901910140208,66.06251408234753,211.71276088345468,7.194306732097495
15,0,1,0.8492148020657683,FP,0.0225704043006328,15.55543687441939,58.48066790347311,213.09792540154544,6.759404701797266
16,0,0,0.1779136720653545,TN,0.04920265630999,0.3570734638958431,84.72591444893939,199.89684118783225,5.879064453292597
17,200,1,0.662372772264368,TP,0.0303783462719551,-2.636520297357189,75.70160323804532,203.67614141313152,6.366887178138862
18,8,1,0.8838039873153917,TP,0.015128917769854,10.92099285456117,53.62137524749511,211.95305984855213,7.350657277872448
19,0,1,0.8873693528529868,FP,0.0227972530626864,16.35508072235792,55.011452863535695,215.8479036057309,6.8444723084716
20,0,0,0.1678082954841179,TN,0.0647749750473453,-1.4735854988602193,82.04626514493059,197.6044936059365,6.659491163452356
21,0,0,0.2076189649588627,TN,0.03682180838685,-2.207504647290002,78.04410170737924,208.8419873370264,6.565613034996285
22,0,1,0.4233629525915066,FP,0.0222804210052718,5.531746871497501,57.90110224353858,190.5452000194328,7.416676288716017
23,0,1,0.8603815384470841,FP,0.0181660554140855,18.17800148039084,52.06672039236695,204.2036884558293,5.975920925212862
24,0,0,0.1796110233322028,TN,0.0311985284401784,-1.7455781925160356,77.67592015680955,207.0011223386633,5.687607361993599
