quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1647089788373012,TN,0.0920158672753562,-4.370452680815271,82.63018472394909,153.79326323775808,5.859668912853418
2,1,1,0.7262401364420646,TP,0.0843788491748973,8.937904735809203,69.5959295864581,170.50900942644867,6.710492873078427
3,8,1,0.878598617918724,TP,0.0225360967812441,16.4396450362482,49.66471238442841,192.05646285777487,6.513874416381606
4,0,0,0.194486989028979,TN,0.0439822823288762,-1.7606774238509753,84.70076049952678,167.77968791709526,5.045449004380714
5,0,0,0.1673048958101021,TN,0.0957348293635296,-3.8294165461226046,83.85954056936946,152.58409614362486,5.7534505411819525
6,0,1,0.841339439416164,FP,0.1004764778413683,10.342074741504293,65.96482826956593,185.59897489974628,6.356914601786082
7,0,1,0.8653510050771102,FP,0.1011295175217331,13.800567911795458,67.86590509457277,221.4913785067228,5.760816645098083
8,0,0,0.1690016613181665,TN,0.0951251216719541,0.0974824425422285,87.59565171276229,182.9293746156075,5.38098779581495
9,0,0,0.1760647824159655,TN,0.0573500367258934,-4.549824120821413,78.12085919294913,194.75061735876096,5.391198749495264
10,0,1,0.7983875538431457,FP,0.0706936577070634,9.77024771217097,64.47814445244754,205.5617883874861,6.061449977576273
11,0,1,0.8602281646491232,FP,0.1755438048116546,13.503687661469808,73.78656151101862,204.70994604200425,5.444697106619707
12,0,0,0.1664081217699996,TN,0.0559765682504284,-1.0013170789770094,84.52656912987626,168.2794525015737,4.462712585321599
13,0,0,0.1737033363724163,TN,0.0680896027049873,-3.187066091394539,77.59673906707329,179.04787437652138,6.24302917765303
14,0,0,0.3370397914557216,TN,0.1296703296703296,8.005448717948719,67.87087912087911,188.65796703296704,6.184661172161172
15,5,1,0.8783919591481687,TP,0.0699844219825995,14.572378415648398,66.13908327635221,185.16599278747805,6.1414610935796805
16,0,0,0.1681843443120247,TN,0.078223653315638,0.0687957099173819,87.26037895082337,159.8477116335316,5.670689383843197
17,0,0,0.173008964614104,TN,0.0485766914469749,-2.6002833403760466,75.5807181479752,161.14104668327852,6.145056084706001
18,1,1,0.8568862225410271,TP,0.0440740688442874,10.221409302467912,57.87010160403939,174.63310782898358,6.566414709343524
19,4998,1,0.880230883618725,TP,0.0595468937743558,15.499310036859258,60.030372679061934,179.80456012827315,5.870242108667454
20,0,0,0.1706707393754951,TN,0.1313424171629783,-1.48556446042853,81.55726470647262,150.10577304979768,5.930502931118945
21,0,0,0.2548390511840825,TN,0.0767551790746887,-2.735691243090689,80.67893883846736,164.45113755669374,5.352900316063777
22,18,1,0.3484962603576355,TP,0.0758192891585081,5.708384432263801,56.46862315991207,148.8469151774602,7.10048954757187
23,0,1,0.8632452821296146,FP,0.0386307058627195,17.503711708468106,58.332564902736,190.57512906143933,6.06334660642655
24,0,0,0.205516047080658,TN,0.028312208122502,-2.2917369194086867,80.98603202056744,170.89538979192957,4.6889338306491615
