quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1668768986992779,TN,0.0478533594533042,-3.4097975296018466,76.50946262255003,103.3996149956633,6.588598391393592
2,0,1,0.8185628077495055,FP,0.057190567605405,10.59418316911554,62.539236014488026,154.83476925184524,8.93700876629356
3,4,1,0.8822031513187865,TP,0.0074661213426931,16.64243819185319,47.002685943207226,190.54574343651467,8.733190907739205
4,0,1,0.6930786107277297,FP,0.0463098366117854,-0.1897533616607464,77.71748375527801,180.139402335809,7.39944839930936
5,0,0,0.1662433204829599,TN,0.0770668381212474,-2.6999623323197866,76.60982396226433,179.2178621557383,6.371847795390249
6,0,1,0.4190777052528133,FP,0.0647947732237916,11.041778965087206,59.17013462466101,194.0332723775291,6.56379604576949
7,323,1,0.8769118350397688,TP,0.0567515483178133,15.225907843829528,57.31470387042677,179.01700023537373,6.156200075025377
8,0,0,0.1812230081333563,TN,0.0528573774238454,0.4783450960870817,80.7196718360126,186.52165799369516,6.2168224562516885
9,0,1,0.7394796286537302,FP,0.0294428244536645,-4.13549810741885,70.77415007896569,184.9031299669656,6.821170309990485
10,0,1,0.4165699292984309,FP,0.0814285714285714,14.147682072829133,53.97216994582264,208.802742414331,8.540228953856992
11,0,1,0.8560539277179978,FP,0.0994342945891069,14.765122724872615,59.67652853937357,213.55922359369853,6.990636599902702
12,0,0,0.1775972813953624,TN,0.0698287462981555,0.3930641438606381,76.86140014229237,188.31942261620156,5.625141825011871
13,0,0,0.1801552204013418,TN,0.030669853556646,-3.5691314572688437,66.88927741092776,205.6749094183127,5.826545259171528
14,0,1,0.7799181684423253,FP,0.1108145443073672,7.804956355140382,63.72076638243367,209.4507091791781,6.555691169644979
15,0,1,0.8818362344556817,FP,0.0372095002190286,15.930835223722058,55.98608285037192,216.73139509570512,6.911164263018904
16,1,1,0.6925089248788572,TP,0.0559123511219319,1.1322316904652232,78.13643043583164,199.04531870325283,3.265335811892698
17,0,0,0.1759018174988574,TN,0.031001475137901,-1.671436274809047,66.40748484495327,203.15161726064625,6.267318167187406
18,0,1,0.3510929026367487,FP,0.0199605743969683,11.46636652595724,49.23516162387772,218.9426214963821,7.985338865724488
19,0,1,0.3771050053800844,FP,0.0368327232280489,16.895598003362004,50.37044320661035,222.8241916149593,7.698849186805512
20,0,0,0.1709703002895324,TN,0.0546795779399364,-0.8783728759912461,73.05761257020558,200.5491906802977,7.56595921409049
21,0,0,0.1898508828358797,TN,0.0394385952355845,-1.482591571208874,69.69491928826847,221.41170790090223,6.812249888922178
22,0,1,0.480463664195116,FP,0.0344316015654575,6.1716818967205285,51.9805327411956,196.5900093206864,8.79402241768685
23,0,1,0.8605745486262011,FP,0.0266939673095315,18.750879068708745,49.43868501653383,223.395483720603,7.278528284926638
24,0,0,0.2107838349624637,TN,0.0400763021019961,-1.6530531974759433,74.07858236094526,224.66659302792797,6.223349554296245
