quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.175286748296249,TN,0.0,-5.17408350479704,84.99506053634167,194.80412807127,2.564519526992105
2,0,0,0.2619803218822293,TN,0.1497836062901884,7.602334668754523,73.20797072403549,200.631598050141,4.3340447352802105
3,0,1,0.4017682960278499,FP,0.016921456821972,15.074501990576955,51.85790224664866,219.82137144200885,6.263287240321072
4,0,0,0.1720150371453023,TN,0.0871431422817564,-2.863864947393526,88.805486572245,192.51632773292448,2.6495815976322463
5,0,0,0.1754552141980168,TN,0.0,-2.722546612835345,88.07645431717803,179.97387203530604,2.613581186664331
6,0,0,0.2043427644688742,TN,0.1361606879225488,8.237906185575955,71.09145683394712,194.2782136487802,3.5900580375295794
7,192,1,0.8430272938148724,TP,0.0817178829154877,12.643435381983284,71.8295058235178,212.63982474611217,3.6376395560527297
8,0,0,0.169147556596765,TN,0.0913959987415098,-0.9147483558360194,89.86232078848705,204.5163699248088,1.884140415885067
9,0,0,0.1843679971463374,TN,9.15750915750916e-05,-5.029300220361967,81.14463287641226,192.3087376720687,2.531185441740641
10,0,0,0.2626309379830639,TN,0.1232008676619455,8.204389077877103,68.88929881938864,196.5476738109972,3.927590035269676
11,0,1,0.3767241093107242,FP,0.1718004018217065,12.336479540105817,78.15220722892502,206.47748702850976,3.7247760889034094
12,0,0,0.1693766367606086,TN,0.0740293877290138,-1.881058114524124,88.42876337413311,203.18596799261812,1.8364804287067689
13,0,0,0.1834328200677327,TN,0.0,-2.997290698018166,95.34222436797842,203.2484830267408,2.722215135556035
14,0,0,0.1988712947404347,TN,0.1537545787545787,6.798809523809523,76.36675824175823,197.85027472527477,3.781410256410256
15,0,1,0.7306555498849929,FP,0.1214884411201188,12.805724018419284,76.60029607706734,125.9919189369434,2.353789967972846
16,0,0,0.1981624959010481,TN,0.1173702581435895,-1.054123255831131,38.45807858164184,191.7545034908789,2.357937822127265
17,0,0,0.1980176764759824,TN,0.0,-4.008425050134329,47.39069114518217,204.23859627331333,3.231842621091931
18,0,1,0.7631464489575538,FP,0.1205526251419012,8.54233940922029,60.75543106276466,204.0290958501719,4.250074100154792
19,6454,1,0.8762063098591417,TP,0.0653289502569828,13.912748881359464,68.528152370714,215.0558360046128,3.836483292796448
20,0,0,0.17347033795765,TN,0.1577997189785661,-2.6941823984759194,90.96702203298948,205.9710801817522,2.858840907487289
21,0,0,0.2042307911030572,TN,0.0,-3.3497232360366413,87.74412850300533,197.8569510065887,2.640840153539429
22,0,0,0.2990235831058961,TN,0.0065573770491803,4.04968939464184,65.91731663571903,188.51526931589484,4.19783210179007
23,647,1,0.7505236285859657,TP,0.038963745299476,15.81427204672955,62.6265054833638,214.53078090876457,4.139059171500277
24,0,0,0.2275358755166752,TN,0.0438790014333492,-3.1107099318703204,86.38110930929345,189.6723444287209,2.198275362622774
