quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1700583141675112,TN,0.0242048128437197,-5.021961594514298,81.37057530256094,178.8707514846821,4.704859386820368
2,0,0,0.3140828140343985,TN,0.085015934184817,9.32168244687625,66.10425760498318,197.32929775714112,5.87048717447376
3,0,1,0.8362525412761704,FP,0.0095902597759576,16.26361147955675,49.73284464095636,215.04063948148672,6.0266158861527765
4,0,0,0.1659910480356298,TN,0.0536385280387387,-1.8195339094761696,81.98752060792806,194.74610354710344,4.559504351740931
5,0,0,0.1717891795280038,TN,0.0357678698876473,-3.862708575503963,81.10671433603352,186.09281785237368,4.595120960594965
6,298,1,0.8155265645046456,TP,0.1550418827384248,9.90602028938459,65.41927585267935,208.45791411931245,5.741246903647052
7,1,1,0.8407096313140064,TP,0.0557375575062589,13.872489969077195,65.3037312195455,221.56584665778928,5.3460022356008965
8,0,0,0.1828536591405982,TN,0.0676325375638912,-0.1899686115823466,86.75076814601279,186.7365914247985,3.955645846083806
9,700,1,0.6494984813881395,TP,0.0283266799924388,-4.697420226833133,75.83340494665654,193.87068644174892,4.351829800140046
10,0,1,0.8417671282507819,FP,0.0648491706235411,9.67921308125572,63.24033298246199,216.01220013951183,5.687667295819635
11,0,1,0.8581124391767138,FP,0.1082175546410832,13.568832961974875,71.29763052701949,205.57224285930172,4.9282553843066
12,0,0,0.1782118275738685,TN,0.0504634883303109,-1.2408374978925705,84.88214691022361,184.38884590874187,3.833119657766317
13,0,0,0.1994259124613206,TN,0.0216333603506149,-3.4773268887052216,76.92866117303166,204.70584027441456,4.652427260339156
14,15,1,0.768634271542824,TP,0.060049717326507,8.077172730570934,66.55516307861133,211.1526018030889,5.874295502597183
15,2,1,0.8862629727244525,TP,0.0396931904088755,14.440086646786948,65.93398674853573,210.8954367416576,5.373186907157485
16,0,0,0.1881662503649764,TN,0.0282999248257537,1.1086792841646942,88.31665181746288,182.35005129814428,4.495391469070306
17,44,1,0.6157740562507861,TP,0.0,-4.023580178755899,77.44485196991393,195.6804329970661,5.196049885085376
18,6,1,0.8835312337698643,TP,0.03242403046472,10.168455374362797,56.451050871721804,209.3878610194945,6.03194950830417
19,48,1,0.8853234126659704,TP,0.052906492968488,15.636069341713547,60.42178850997651,216.3587153338204,5.510395068965244
20,0,0,0.1768725116880502,TN,0.0865836564556005,-2.379803094860076,86.47577649944085,186.6442940280931,4.3890786862458935
21,0,0,0.1876379978905785,TN,0.0238256993946794,-2.642218823482166,81.02696528692971,199.33172082519803,4.742418258344895
22,0,1,0.3734733425034989,FP,0.0233965894909691,5.506360118866459,56.79079324206417,185.8855780966484,5.96218679885673
23,0,1,0.8533450564980141,FP,0.0536772448135609,17.17772815967204,58.77840903531597,201.8835210063997,5.2564305301024055
24,0,0,0.1830567577979939,TN,0.0361210770954136,-2.559378445409678,78.84879592539929,200.0050448976036,3.996381082580471
