quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,1,0.632060650655254,FP,0.0554197017877055,-3.996821586501597,78.63133696406835,171.32437129117216,6.0475650889898205
2,0,1,0.8699407301972256,FP,0.0877147711212657,10.18106025227338,66.11550813447893,183.2565575117892,6.388070089003827
3,1,1,0.8770226327961356,TP,0.0117629449509941,17.00626152199074,49.58929246061856,198.1367870399311,6.029436912895902
4,0,0,0.1749872496360357,TN,0.0385016677407861,-1.05193601877368,81.30521202525699,174.63925070904463,5.521184242068689
5,0,0,0.1862225687902932,TN,0.0697528623779333,-3.157653750996346,80.3866110256656,176.42012259819543,5.794474734331184
6,0,1,0.8174968020068815,FP,0.0969017803560216,10.950584319671936,64.23546409780953,194.4779235572756,6.155990496854914
7,0,1,0.8811779049334398,FP,0.0704210657751092,14.36777388313019,65.25383166857675,198.74910131021036,5.559627233977439
8,0,0,0.1667995895220335,TN,0.0738213713737307,0.0228613668014307,86.22034208112834,181.5649934414953,5.43975534077273
9,0,0,0.1677308270826294,TN,0.0361456626256326,-4.670909136473897,76.19852697616437,195.6426910666561,5.868643379099238
10,0,1,0.8249157329832586,FP,0.0623077563597974,9.949360841863411,62.564974696935145,210.64552777943655,6.658985438129438
11,0,1,0.8665430051167323,FP,0.1121429249287213,13.902371754055071,70.3294240020888,204.2981225796788,5.825411403431433
12,0,0,0.1676318335508147,TN,0.0538015149960942,-0.9114541094698704,83.66420518245748,175.99780540465915,5.1537950481569705
13,0,0,0.1709030763968673,TN,0.0418597881235689,-3.2013396279571964,76.44058854186397,191.4432050534517,6.363263152944121
14,0,0,0.3152681645987688,TN,0.0869217699909674,8.221136609738027,66.36698445097151,202.51891968154143,7.072019388469808
15,0,1,0.8631464445457607,FP,0.0428978211592366,14.88949283246322,63.417647692773954,202.4190392226664,6.380432480966315
16,0,0,0.1708936167723299,TN,0.0579473359335613,0.3995669776994762,86.1381561236119,176.68371060914038,6.166053282227147
17,4,1,0.6018953633094957,TP,0.028935632093892,-3.036015114781599,75.27955334828715,186.66930035815895,6.646788855018444
18,3,1,0.882052991831548,TP,0.030446159276677,10.489905802087868,55.680583646380086,200.22503258129248,7.2701915706531235
19,0,1,0.8855312470138151,FP,0.0425657005764216,15.85727143957973,58.254902870063205,204.3132593671454,6.679823332904957
20,0,0,0.1699446435590171,TN,0.1027569883387215,-1.787947698094593,83.37565982212632,176.10621128490178,6.076546691051524
21,0,0,0.2041108524187511,TN,0.0508552866345484,-2.4818114422766784,78.60680893730522,185.95548525424385,6.600955684882931
22,0,1,0.3617149474203635,FP,0.0381839416347398,5.590538638058979,56.94796318790604,177.24095259430084,7.49155586147015
23,0,1,0.8679845508919394,FP,0.0369098034201832,17.591776379973666,56.17690438419528,196.17127128618688,6.501440081746165
24,0,0,0.1754706530610372,TN,0.0322789079563965,-2.214845337924695,78.57420400280569,187.5588787215472,5.5736438151461005
