quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1662749555501388,TN,0.0514461294297737,-3.4291951658318536,79.25076774827193,125.21557006177008,6.685303036480804
2,0,1,0.8284228188976029,FP,0.0123450060057285,11.281633275782491,59.96512069556096,186.4473100697816,15.540267505384168
3,1,1,0.853347951293974,TP,0.0033473863662542,13.459860981523718,52.76674038749511,186.0130313083143,14.757897199760407
4,0,0,0.2020404834236309,TN,0.0491918137834085,1.010380074341748,79.07411004073559,189.0385191445812,10.692364935763097
5,0,0,0.1800046496320853,TN,0.0715266927730194,-2.7128873225353587,79.07468190104194,186.08929814693693,6.448710038298365
6,0,1,0.4294738754406075,FP,0.0455197969844272,11.444956847178329,56.6650586159558,196.73737446190063,7.4455185581709
7,1,1,0.8585624233551046,TP,0.0485210622710622,15.996790917415916,53.85356934731935,188.79616217116217,6.931186521811522
8,0,0,0.1702893502669132,TN,0.0554623347339599,1.3003438227582975,79.12261649097134,186.3921658781276,6.150542504150312
9,0,0,0.1949480505876878,TN,0.0280686812677763,-3.514305008765356,71.20075069218825,179.0450241328091,6.388435126933306
10,0,1,0.4242790791423448,FP,0.0596534406243865,11.832411919215009,55.51417414666082,202.25579350787604,7.331722847308055
11,0,1,0.433899337912608,FP,0.0779397548050906,15.392492724797986,61.52157633312199,206.78655243720303,6.406451522991638
12,0,0,0.1843097438495115,TN,0.0505235264519019,0.4351212396889289,78.53356398683744,187.2822726450047,5.74458343557161
13,0,0,0.1698878872697458,TN,0.040857460637389,-2.15426713253188,71.01141654958857,198.8580673710825,6.413168752812615
14,0,0,0.3373319072336848,TN,0.0844506691430967,9.156614043810643,61.1337225802129,203.90084270183308,7.131763360271032
15,1,1,0.8652618834048905,TP,0.0270297931632467,16.62775459822027,53.37403906075631,206.04548912909468,6.73271349750262
16,0,0,0.1851392354667587,TN,0.0546999527418689,1.3504676501143569,79.94899437887463,193.4194200510069,5.719953109764488
17,0,0,0.1727593617343032,TN,0.0334702080755924,-1.6330699588602176,69.92690717850276,194.4933151014362,6.555865332184522
18,0,1,0.4020650279213438,FP,0.0171806891107682,11.964596915000737,49.30007551255484,205.3352539281238,7.434069504067257
19,0,1,0.8709062023719928,FP,0.030687570312112,17.41447738465259,51.21884162495958,208.52424672333368,6.99344770673887
20,0,0,0.1728274076808872,TN,0.0694681495026453,0.1271907871863408,77.73009131614955,186.41650950182844,6.394876127166422
21,0,0,0.1753616331614203,TN,0.0436813014771879,-0.9015330929435296,71.56472117743735,195.54178935707037,6.749875829146392
22,0,1,0.5023728046792437,FP,0.027154391610975,6.609248256661417,53.22330335081058,187.27489171131012,7.759773639272074
23,0,1,0.8718235112668111,FP,0.0276855788468942,19.05940440875842,48.85031156673197,198.28686385617425,6.865810054085685
24,38,0,0.1987639468037885,FN,0.0368411125638233,-1.002414211205986,73.40874904568814,190.3214445988893,6.051428740538923
