quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.1758794782501392,TN,0.0561364303830289,-3.870877799826618,85.81377312245782,142.99824063316044,4.647172149695822
2,0,0,0.3074772081908429,TN,0.1241847354805081,10.316853690712051,69.06083378032027,163.27744994938033,6.255939990682765
3,0,1,0.8585536214987379,FP,0.014012525137615,17.808161704099877,47.18763314926147,158.99731112006452,6.16068631723736
4,0,0,0.165911000175712,TN,0.05014763102268,-1.141341587283496,85.48146505945914,139.90976533979205,4.023951892239963
5,0,0,0.1782265927000375,TN,0.0578124006850875,-2.7232784235650533,83.40833121803507,143.61361656169854,4.225530125925242
6,0,0,0.2783603216292964,TN,0.0795501183225734,10.855127291510795,65.08752839033582,159.19715081020038,5.950125829410488
7,0,1,0.8115262710532029,FP,0.0499176191947276,15.561615141886229,59.32368117157273,154.77727576974567,5.71136560895597
8,0,0,0.1648497420894066,TN,0.0751290925173919,0.4655791331237641,87.76307701014316,142.36785133779475,3.893561948938492
9,0,0,0.1671187825524724,TN,0.0534214168911616,-3.661507910639328,77.48485480767609,138.4529280272783,4.706915937496869
10,0,1,0.7609853020675885,FP,0.0638695112067138,10.743367586441826,62.88006508941306,161.0599687185608,5.5627838509595575
11,0,0,0.24528766029922,TN,0.1059442953517132,14.936654735112285,69.07317131690813,156.01255187341943,5.0916519216741065
12,0,0,0.1716767708277155,TN,0.0624000001243029,-0.4782124488872505,84.52751348070096,144.66284203824492,3.514219378373012
13,0,0,0.1891962112069889,TN,0.0340088129905153,-2.490395131154976,78.70484532184825,144.77041476980284,4.287225992033705
14,0,0,0.2400720697742246,TN,0.0870123287735185,9.210325455864348,66.36170769598999,163.19612376084595,6.114999708934396
15,0,0,0.2691655330469007,TN,0.0362000963650301,16.27553156006872,58.20079380568782,156.1018561778961,5.97223616127972
16,0,0,0.168041338005284,TN,0.069894609292047,0.3372342758520782,87.6895772417269,146.08263252281228,4.163822068099528
17,0,0,0.1765780116227479,TN,0.0374013352113721,-2.244594844415187,77.63347077349464,151.03090132190877,5.0366338084874345
18,84,1,0.8242841567234293,TP,0.0512147419490662,11.581117775843126,55.54065857042307,161.5636731206495,6.488963223217287
19,57,1,0.8716162594853111,TP,0.0563269378300099,16.402683706732063,58.875978380436926,155.4116573560991,5.990109296604271
20,0,0,0.1725883094432103,TN,0.0966062874815157,-1.0085534784300068,84.70184045736926,148.2211180345436,4.451727184599534
21,0,0,0.2097335343936661,TN,0.0395418721749298,-2.225735918366893,80.48200671972621,153.6118941779609,4.402642438461052
22,0,0,0.3244005201829129,TN,0.1050321328139111,6.222116067507737,59.08864740981604,160.5205539644188,6.568964448654185
23,0,1,0.8080554677572195,FP,0.0494618826163953,18.172128794017613,56.56100180234637,160.79512235919904,6.105284461373192
24,0,0,0.1732759244344755,TN,0.0449713015817134,-1.5225420909278202,80.94445057093311,150.57470936509674,4.559347939858955
