quarter,actual,pred,pred_prob,outcome,precipitation,temperature,relative_humidity,wind_direction,wind_speed
1,0,0,0.170918165743255,TN,0.0493200219694292,-4.796701252133408,82.27414300889646,142.59147912001794,7.167548824839064
2,0,1,0.7181620836662076,FP,0.0643944523453979,7.80383163079593,68.93655838615038,61.56215801360013,6.424789827534865
3,0,1,0.4067348646546007,FP,0.0112539473466863,15.34875632717091,48.970078981197325,191.0790296361918,6.152755984130895
4,0,0,0.1664524111562038,TN,0.0497033237194637,-2.1759751584810094,79.36397070542897,162.30868695965344,6.352757624512517
5,0,0,0.1654096888384461,TN,0.07977325139139,-4.333564509385747,77.94873078331254,153.59631967291804,6.54397901980229
6,0,1,0.7840152293367513,FP,0.0693035209248641,8.203597773079654,63.338808579145095,188.42050982783195,6.095317040316894
7,1,1,0.8368804728974226,TP,0.069047619047619,13.10123626373626,59.113095238095255,180.55311355311352,5.79739010989011
8,0,0,0.172591017031321,TN,0.0465869415838596,-0.3324311502824963,78.01585641432055,152.31993486446433,6.196561749496308
9,0,0,0.1860350999172397,TN,0.0313216521139204,-4.668895789792833,67.39382690865759,141.7246008561397,6.464511883517945
10,0,0,0.2865447346836228,TN,0.0898883374689826,8.117127361705677,63.25141385582505,189.35375918578404,6.371055561012811
11,0,1,0.8296750974821503,FP,0.0918498168498168,12.306181318681318,69.65567765567765,190.3902625152625,5.502136752136751
12,0,0,0.1727495005935225,TN,0.0479070929070929,-1.122399766899767,79.88329004329005,156.01346653346656,5.448796703296702
13,0,0,0.1878203610676857,TN,0.0405588277369035,-3.8180813244435616,74.64646201336804,176.28665360355384,6.611809936320995
14,0,0,0.2162693652019703,TN,0.1188644688644688,6.547985347985348,68.04532967032966,190.5746336996337,6.125595238095237
15,11,1,0.8639813084990665,TP,0.0398454397402504,13.487687696828653,61.45878735570179,195.04402604174692,5.541644318748106
16,0,0,0.1729610830407413,TN,0.0541258741258741,-0.2182634032634031,80.51055611055611,172.29720279720283,6.162863802863803
17,0,0,0.1884191741793389,TN,0.0405047048759623,-3.689615549121537,71.63251518940143,168.05058838367222,6.664572777521879
18,112,1,0.8380421525785298,TP,0.0236708881461262,8.915861160645134,56.19529804946088,195.0153523856613,6.378137298075902
19,166684,1,0.8869838667375856,TP,0.0533960378449038,14.29166617474787,58.92107100634351,201.8316499754016,5.953032356340261
20,0,1,0.6961048113251187,FP,0.0630253778157969,0.6358869274438138,79.55434876999247,164.83103662804265,6.612878820281514
21,0,0,0.3459003430528621,TN,0.0534399781857934,-1.1895196907035177,70.07959385789212,181.4122794580874,6.130307098075863
22,0,1,0.3944326909079603,FP,0.0383002209456387,3.828439518630943,58.457283021208966,171.65405112622187,6.891586926955474
23,0,1,0.7823553203380506,FP,0.0617701001252322,16.041558387660096,54.47270526782144,177.44694591180385,5.684479891800027
24,0,0,0.1914770762027117,TN,0.0367331581462016,-2.6640984830387,73.20338031533683,146.3510152890588,5.5120705924510265
